Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
014620,KR7014620009,성광벤드,KOSDAQ,우량기업부,11030,2,-40,-0.36,11070,11100,10990,50165,553299660,315458000000,28600000,KSQ
013030,KR7013030002,하이록코리아,KOSDAQ,우량기업부,24500,2,-200,-0.81,24550,24800,24400,14224,349022450,314973225000,12856050,KSQ
314930,KR7314930009,바이오다인,KOSDAQ,기술성장기업부,50900,1,100,0.2,51800,52200,50600,26789,1375321000,314699175500,6182695,KSQ
122640,KR7122640006,예스티,KOSDAQ,벤처기업부,16490,2,-190,-1.14,16700,16870,16450,66654,1106402030,314041199580,19044342,KSQ
278650,KR7278650007,HLB바이오스텝,KOSDAQ,중견기업부,3870,1,275,7.65,3620,4025,3595,4114591,15890510825,313808323140,81087422,KSQ
405100,KR7405100009,큐알티,KOSDAQ,벤처기업부,26150,1,450,1.75,25100,27050,23900,279118,7220316950,313489024200,11988108,KSQ
090360,KR7090360009,로보스타,KOSDAQ,중견기업부,32150,2,-50,-0.16,32500,32550,31800,67252,2170850650,313462500000,9750000,KSQ
108230,KR7108230004,톱텍,KOSDAQ,중견기업부,8230,2,-80,-0.96,8370,8390,8020,177526,1450712640,312931306350,38023245,KSQ
084110,KR7084110006,휴온스글로벌,KOSDAQ,중견기업부,24750,2,-50,-0.2,24800,25450,24550,20133,501767600,312381927000,12621492,KSQ
251970,KR7251970000,펌텍코리아,KOSDAQ,우량기업부,25150,2,-1050,-4.01,25700,26000,24850,44256,1117613100,311860000000,12400000,KSQ
297890,KR7297890006,HB솔루션,KOSDAQ,우량기업부,4265,1,35,0.83,4385,4480,4245,2044883,8944154745,311832566270,73114318,KSQ
089970,KR7089970008,에이피티씨,KOSDAQ,우량기업부,12940,2,-110,-0.84,13050,13050,12770,31167,401529700,310308899300,23980595,KSQ
044490,KR7044490001,태웅,KOSDAQ,중견기업부,15500,2,-770,-4.73,16240,16240,15420,110662,1735225100,310114405500,20007381,KSQ
051500,KR7051500007,CJ프레시웨이,KOSDAQ,우량기업부,26050,2,-200,-0.76,26350,26600,25700,34763,904536700,309254815300,11871586,KSQ
217820,KR7217820000,원익피앤이,KOSDAQ,우량기업부,6510,2,-150,-2.25,6450,6620,6440,414145,2696769930,308929179090,47454559,KSQ
064260,KR7064260003,다날,KOSDAQ,우량기업부,4430,2,-40,-0.89,4450,4530,4425,835213,3735529560,305444247200,68949040,KSQ
059090,KR7059090001,미코,KOSDAQ,투자주의환기종목(소속부없음),9100,1,20,0.22,9030,9130,9010,62684,569885350,304092679800,33416778,KSQ
166480,KR7166480004,코아스템켐온,KOSDAQ,벤처기업부,9250,1,460,5.23,8860,9400,8730,184644,1687167730,304050978000,32870376,KSQ
045100,KR7045100005,한양이엔지,KOSDAQ,우량기업부,16860,2,-180,-1.06,16830,16880,16530,290420,4847694120,303480000000,18000000,KSQ
445680,KR7445680002,큐리옥스바이오시스템즈,KOSDAQ,기술성장기업부,37700,2,-1500,-3.83,39200,39600,37650,54427,2098826000,302447948400,8022492,KSQ
950130,KR8840090003,엑세스바이오,KOSDAQ,외국기업(소속부없음),8300,1,30,0.36,8270,8390,8260,65772,547572980,301836530100,36365847,KSQ
138580,KR7138580006,비즈니스온,KOSDAQ,벤처기업부,13380,2,-50,-0.37,13680,13680,13200,46119,616481000,301801460940,22556163,KSQ
079810,KR7079810008,디이엔티,KOSDAQ,중견기업부,13670,2,-530,-3.73,14190,14200,13640,177343,2451780600,301124044980,22028094,KSQ
036030,KR7036030005,케이티알파,KOSDAQ,중견기업부,6140,1,140,2.33,6000,6230,6000,111417,686107320,300978397620,49019283,KSQ
216080,KR7216080002,제테마,KOSDAQ,기술성장기업부,16750,1,260,1.58,16480,17150,16300,122803,2073376150,299134213250,17858759,KSQ
357550,KR7357550003,석경에이티,KOSDAQ,기술성장기업부,54800,2,-3500,-6.0,58300,58400,54400,38130,2137892000,298934000000,5455000,KSQ
354320,KR7354320004,알멕,KOSDAQ,기술성장기업부,46550,2,-1100,-2.31,47600,47600,46500,46115,2156994050,297518785550,6391381,KSQ
035890,KR7035890003,서희건설,KOSDAQ,우량기업부,1292,1,17,1.33,1275,1302,1275,256682,331525282,296912526444,229808457,KSQ
214680,KR7214680001,디알텍,KOSDAQ,벤처기업부,4055,1,5,0.12,4040,4115,4030,455130,1851601655,296906207900,73219780,KSQ
041960,KR7041960006,코미팜,KOSDAQ,벤처기업부,4205,2,-5,-0.12,4210,4330,4170,87302,373188400,296891771120,70604464,KSQ
042600,KR7042600007,새로닉스,KOSDAQ,우량기업부,23800,2,-500,-2.06,24300,24850,23750,20296,491110250,295681061200,12423574,KSQ
003800,KR7003800000,에이스침대,KOSDAQ,우량기업부,26600,2,-50,-0.19,26650,27450,26550,1649,44255350,294994000000,11090000,KSQ
089890,KR7089890008,코세스,KOSDAQ,우량기업부,17730,2,-130,-0.73,17430,17930,17070,504649,8819019130,294051376260,16584962,KSQ
114810,KR7114810005,한솔아이원스,KOSDAQ,투자주의환기종목(소속부없음),9950,1,550,5.85,9400,9960,9340,138017,1350673550,292054131300,29352174,KSQ
107600,KR7107600009,새빗켐,KOSDAQ,벤처기업부,59800,2,-1200,-1.97,60900,61200,59800,10953,662519900,290720391000,4861545,KSQ
033160,KR7033160003,엠케이전자,KOSDAQ,우량기업부,13150,2,-40,-0.3,13050,13370,13040,94507,1248337870,290172252650,22066331,KSQ
114840,KR7114840002,아이패밀리에스씨,KOSDAQ,벤처기업부,33700,2,-1350,-3.85,35700,36750,33400,81080,2781602250,289852756400,8600972,KSQ
100120,KR7100120005,뷰웍스,KOSDAQ,우량기업부,28900,2,-250,-0.86,29500,29500,28750,15977,463321950,289053898500,10001865,KSQ
282880,KR7282880004,코윈테크,KOSDAQ,우량기업부,27100,2,-550,-1.99,27500,27500,27050,36238,986553400,289038247800,10665618,KSQ
307750,KR7307750000,국전약품,KOSDAQ,우량기업부,5860,2,-10,-0.17,5900,5930,5850,36282,213134380,287545916340,49069269,KSQ
086390,KR7086390002,유니테스트,KOSDAQ,중견기업부,13570,2,-70,-0.51,13640,13790,13560,56361,769371890,286790089820,21134126,KSQ
950140,KR8840110108,잉글우드랩,KOSDAQ,외국기업(소속부없음),14320,2,-290,-1.98,14610,14800,14130,50313,721891800,284507841120,19867866,KSQ
023410,KR7023410004,유진기업,KOSDAQ,우량기업부,3660,1,40,1.1,3620,3680,3605,248623,907280520,282957758580,77310863,KSQ
066790,KR7066790007,씨씨에스,KOSDAQ,중견기업부,5050,2,-220,-4.17,4900,5500,4530,57005054,288683439735,282926532800,56025056,KSQ
190510,KR7190510008,나무가,KOSDAQ,우량기업부,17260,1,30,0.17,16900,17460,16700,412099,7000853790,280619707840,16258384,KSQ
397030,KR7397030008,에이프릴바이오,KOSDAQ,기술성장기업부,12960,2,-340,-2.56,13300,13430,12960,73746,973842920,280229284800,21622630,KSQ
146320,KR7146320007,비씨엔씨,KOSDAQ,벤처기업부,21900,2,-450,-2.01,22100,22350,21850,52723,1160857600,280165013700,12792923,KSQ
