Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
016800,KR7016800005,퍼시스,KOSPI,,31900,1,150,0.47,31700,32350,31700,2306,73809600,366850000000,11500000,STK
001820,KR7001820000,삼화콘덴서,KOSPI,,34850,3,0,0.0,34700,35350,34700,17054,596858450,362265750000,10395000,STK
000490,KR7000490003,대동,KOSPI,,14090,2,-90,-0.63,14180,14250,14010,115021,1624899880,361278702920,25640788,STK
060980,KR7060980000,HL홀딩스,KOSPI,,35450,1,750,2.16,34750,35650,34750,24222,856084300,360505584500,10169410,STK
003960,KR7003960002,사조대림,KOSPI,,39250,1,3050,8.43,37100,39400,36600,71529,2736762200,359705329750,9164467,STK
007690,KR7007690001,국도화학,KOSPI,,39850,3,0,0.0,40200,40300,39850,9026,361559850,359073047600,9010616,STK
451800,KR7451800007,한화리츠,KOSPI,,5030,1,20,0.4,5010,5040,5010,1202,6039620,355118000000,70600000,STK
093230,KR7093230001,이아이디,KOSPI,,1392,0,0,0.0,0,0,0,0,0,354103029120,254384360,STK
005090,KR7005090006,SGC에너지,KOSPI,,24450,1,950,4.04,23500,24600,23450,39451,955322800,352308191850,14409333,STK
036530,KR7036530004,SNT홀딩스,KOSPI,,21550,1,1000,4.87,20400,21700,20400,14625,313060000,351348743300,16303886,STK
001340,KR7001340009,백광산업,KOSPI,,7790,0,0,0.0,0,0,0,0,0,349914390530,44918407,STK
00088K,KR700088K015,한화3우B,KOSPI,,15500,1,480,3.2,14920,15630,14900,136183,2099011930,348316000000,22472000,STK
051905,KR7051901007,LG생활건강우,KOSPI,,164900,1,3900,2.42,161000,165000,157300,9344,1513199200,346240035300,2099697,STK
000680,KR7000680009,LS네트웍스,KOSPI,,4350,2,-5,-0.11,4360,4500,4340,482400,2131820180,342793119600,78803016,STK
005690,KR7005690003,파미셀,KOSPI,,5710,1,60,1.06,5660,5800,5660,187351,1076112700,342696864440,60016964,STK
298690,KR7298690009,에어부산,KOSPI,,2900,2,-15,-0.51,2895,2950,2890,202616,588865075,338256000000,116640000,STK
005010,KR7005010004,휴스틸,KOSPI,,6020,1,200,3.44,5910,6030,5790,473036,2784747880,338252211500,56188075,STK
00104K,KR700104K010,CJ4우(전환),KOSPI,,79500,1,3800,5.02,75800,79600,75800,11230,873185500,336007704000,4226512,STK
001780,KR7001780006,알루코,KOSPI,,3485,2,-95,-2.65,3555,3555,3450,978282,3405324285,336003947020,96414332,STK
003220,KR7003220001,대원제약,KOSPI,,15040,1,10,0.07,15050,15070,14980,23112,347434260,333740517760,22190194,STK
084010,KR7084010008,대한제강,KOSPI,,14230,1,600,4.4,13900,14250,13760,43146,604862150,333186869310,23414397,STK
012030,KR7012030003,DB,KOSPI,,1643,1,2,0.12,1640,1651,1630,153440,252278583,330528771919,201173933,STK
004380,KR7004380002,삼익THK,KOSPI,,15600,1,520,3.45,15040,15600,15040,206963,3193048320,327600000000,21000000,STK
084680,KR7084680008,이월드,KOSPI,,2295,2,-30,-1.29,2325,2440,2200,8179498,19057916470,325445212935,141806193,STK
011810,KR7011810009,STX,KOSPI,,10450,2,-500,-4.57,10960,10970,10410,814295,8605419120,324137337150,31017927,STK
072710,KR7072710007,농심홀딩스,KOSPI,,69700,1,2600,3.87,67400,69900,67300,9069,626366400,323253963000,4637790,STK
008490,KR7008490005,서흥,KOSPI,,27700,1,550,2.03,27150,27750,27150,3977,109444200,320464430100,11569113,STK
092220,KR7092220003,KEC,KOSPI,,1593,3,0,0.0,1595,1609,1590,704603,1124960047,319815683613,200763141,STK
001880,KR7001880004,DL건설,KOSPI,,14350,0,0,0.0,0,0,0,0,0,316464625400,22053284,STK
001510,KR7001510007,SK증권,KOSPI,,666,1,3,0.45,664,669,663,773589,515293184,314745053886,472590171,STK
003120,KR7003120003,일성신약,KOSPI,,23650,3,0,0.0,23650,24400,23600,11384,273260850,314545000000,13300000,STK
001630,KR7001630003,종근당홀딩스,KOSPI,,62700,1,1400,2.28,61300,63100,61100,3913,244400400,314118284700,5009861,STK
058430,KR7058430000,포스코스틸리온,KOSPI,,52100,3,0,0.0,51800,52400,51600,15147,788397200,312600000000,6000000,STK
029460,KR7029460003,케이씨,KOSPI,,23050,1,250,1.1,23250,23300,22800,21733,502463600,312420714200,13554044,STK
017390,KR7017390006,서울가스,KOSPI,,62100,1,1600,2.64,60500,62300,60500,25101,1548628900,310500000000,5000000,STK
013890,KR7013890009,지누스,KOSPI,,14960,1,260,1.77,14600,15110,14600,50518,756332150,310198651840,20735204,STK
088260,KR7088260005,이리츠코크렙,KOSPI,,4835,2,-25,-0.51,4860,4880,4830,21553,104539760,306256587650,63341590,STK
001500,KR7001500008,현대차증권,KOSPI,,9650,1,170,1.79,9470,9800,9440,103272,1000705670,306026223300,31712562,STK
001790,KR7001790005,대한제당,KOSPI,,3405,1,5,0.15,3400,3425,3375,262728,893733290,305416854900,89696580,STK
000480,KR7000480004,CR홀딩스,KOSPI,,6510,1,30,0.46,6480,6580,6440,29016,188678420,305257089900,46890490,STK
037560,KR7037560000,LG헬로비전,KOSPI,,3930,1,30,0.77,3890,3950,3875,156672,614534045,304366179450,77446865,STK
002960,KR7002960003,한국쉘석유,KOSPI,,233500,3,0,0.0,233000,234500,232500,737,172243000,303550000000,1300000,STK
006390,KR7006390009,한일현대시멘트,KOSPI,,15640,1,120,0.77,15640,15710,15460,8947,139131040,302284790080,19327672,STK
005950,KR7005950001,이수화학,KOSPI,,13180,2,-60,-0.45,13250,13320,13130,129323,1710391630,299485700020,22722739,STK
075580,KR7075580001,세진중공업,KOSPI,,5260,2,-70,-1.31,5330,5330,5180,73894,386597570,299028138560,56849456,STK
126720,KR7126720002,수산인더스트리,KOSPI,,20850,1,200,0.97,20600,21200,20600,29290,615051750,297863100000,14286000,STK
