ENER_NO,COMPLEXCODE,ENER_DT,HEAT_AMOUNT,HEAT_USAGE,WATERHOT_AMOUNT,WATERHOT_USAGE,GAS_AMOUNT,GAS_USAGE,ELEC_AMOUNT,ELEC_USAGE,WATER_AMOUNT,WATER_USAGE
117,A10023531,202309,0,0,0,0,0,0,61016952,235776,10945320,9730
118,A10023531,202310,0,0,0,0,0,0,48719450,198530,10645020,10162
119,A10023531,202311,0,0,0,0,0,0,53042240,201429,10952920,9740
120,A10023531,202312,0,0,0,0,0,0,61849330,221118,10527220,10084
121,A10023535,201401,0,0,0,0,0,0,0,0,0,0
122,A10023535,201402,0,0,0,0,0,0,0,0,0,0
123,A10023535,201403,0,0,0,0,0,0,0,0,0,0
124,A10023535,201404,0,0,0,0,0,0,0,0,0,0
125,A10023535,201405,0,0,0,0,0,0,0,0,0,0
126,A10023535,201406,0,0,0,0,0,0,0,0,0,0
127,A10023535,201407,0,0,0,0,0,0,0,0,0,0
128,A10023535,201408,0,0,0,0,0,0,0,0,0,0
129,A10023535,201409,0,0,0,0,0,0,0,0,0,0
130,A10023535,201410,0,0,0,0,0,0,0,0,0,0
131,A10023535,201411,0,0,0,0,0,0,0,0,0,0
132,A10023535,201412,0,0,0,0,0,0,0,0,0,0
133,A10023535,201501,0,0,0,0,0,0,0,0,0,0
134,A10023535,201502,0,0,0,0,0,0,0,0,0,0
135,A10023535,201503,0,0,0,0,0,0,0,0,0,0
136,A10023535,201504,0,0,0,0,0,0,0,0,0,0
137,A10023535,201505,0,0,0,0,0,0,0,0,0,0
138,A10023535,201506,0,0,0,0,0,0,0,0,0,0
139,A10023535,201507,0,0,0,0,0,0,0,0,0,0
140,A10023535,201508,0,0,0,0,0,0,0,0,0,0
141,A10023535,201509,0,0,0,0,0,0,0,0,0,0
142,A10023535,201510,0,0,0,0,0,0,0,0,0,0
143,A10023535,201511,0,0,0,0,0,0,0,0,0,0
144,A10023535,201512,0,0,0,0,0,0,0,0,0,0
145,A10023535,201601,0,0,0,0,0,0,0,0,0,0
146,A10023535,201602,0,0,0,0,0,0,0,0,0,0
147,A10023535,201603,0,0,0,0,0,0,0,0,0,0
148,A10023535,201604,0,0,0,0,0,0,0,0,0,0
149,A10023535,201605,0,0,0,0,0,0,0,0,0,0
150,A10023535,201606,0,0,0,0,0,0,0,0,0,0
151,A10023535,201607,0,0,0,0,0,0,0,0,0,0
152,A10023535,201608,0,0,0,0,0,0,0,0,0,0
153,A10023535,201609,0,0,0,0,0,0,0,0,0,0
154,A10023535,201610,0,0,0,0,0,0,0,0,0,0
155,A10023535,201611,0,0,0,0,0,0,0,0,0,0
156,A10023535,201612,0,0,0,0,0,0,0,0,0,0
157,A10023535,201701,0,0,0,0,0,0,0,0,0,0
158,A10023535,201702,0,0,0,0,0,0,0,0,0,0
159,A10023535,201703,0,0,0,0,0,0,0,0,0,0
160,A10023535,201704,0,0,0,0,0,0,0,0,0,0
161,A10023535,201705,0,0,0,0,0,0,0,0,0,0
162,A10023535,201706,0,0,0,0,0,0,0,0,0,0
163,A10023535,201707,0,0,0,0,0,0,0,0,0,0
164,A10023535,201708,0,0,0,0,0,0,0,0,0,0
165,A10023535,201709,0,0,0,0,0,0,0,0,0,0
166,A10023535,201710,0,0,0,0,0,0,0,0,0,0
167,A10023535,201711,0,0,0,0,0,0,0,0,0,0
168,A10023535,201712,0,0,0,0,0,0,0,0,0,0
169,A10023535,201801,0,0,0,0,0,0,0,0,0,0
170,A10023535,201802,0,0,0,0,0,0,0,0,0,0
171,A10023535,201803,0,0,0,0,0,0,0,0,0,0
172,A10023535,201804,0,0,0,0,0,0,0,0,0,0
173,A10023535,201805,0,0,0,0,0,0,0,0,0,0
174,A10023535,201806,0,0,0,0,0,0,0,0,0,0
175,A10023535,201807,0,0,0,0,0,0,0,0,0,0
176,A10023535,201808,0,0,0,0,0,0,0,0,0,0
177,A10023535,201809,0,0,0,0,0,0,0,0,0,0
178,A10023535,201810,0,0,0,0,0,0,0,0,0,0
179,A10023535,201811,0,0,0,0,0,0,0,0,0,0
180,A10023535,201812,0,0,0,0,0,0,0,0,0,0
181,A10023535,201901,0,0,0,0,0,0,0,0,0,0
182,A10023535,201902,0,0,0,0,0,0,0,0,0,0
183,A10023535,201903,0,0,0,0,0,0,0,0,0,0
184,A10023535,201904,0,0,0,0,0,0,0,0,0,0
185,A10023535,201905,0,0,0,0,0,0,0,0,0,0
186,A10023535,201906,0,0,0,0,0,0,0,0,0,0
187,A10023535,201907,0,0,0,0,0,0,0,0,0,0
188,A10023535,201908,0,0,0,0,0,0,0,0,0,0
189,A10023535,201909,0,0,0,0,0,0,0,0,0,0
190,A10023535,201910,0,0,0,0,0,0,0,0,0,0
191,A10023535,201911,0,0,0,0,0,0,0,0,0,0
192,A10023535,201912,0,0,0,0,0,0,0,0,0,0
193,A10023535,202001,0,0,0,0,0,0,0,0,0,0
194,A10023535,202002,0,0,0,0,0,0,0,0,0,0
195,A10023535,202003,0,0,0,0,0,0,0,0,0,0
196,A10023535,202004,0,0,0,0,0,0,0,0,0,0
197,A10023535,202005,0,0,0,0,0,0,0,0,0,0
198,A10023535,202006,0,0,0,0,0,0,0,0,0,0
199,A10023535,202007,0,0,0,0,0,0,0,0,0,0
214,A10023535,202008,0,0,0,0,0,0,0,0,0,0
215,A10023535,202009,0,0,0,0,0,0,0,0,0,0
216,A10023535,202010,0,0,0,0,0,0,0,0,0,0
217,A10023535,202011,0,0,0,0,0,0,0,0,0,0
218,A10023535,202012,0,0,0,0,0,0,0,0,0,0
219,A10023535,202101,0,0,0,0,0,0,0,0,0,0
220,A10023535,202102,0,0,0,0,0,0,0,0,0,0
221,A10023535,202103,0,0,0,0,0,0,0,0,0,0
222,A10023535,202104,0,0,0,0,0,0,0,0,0,0
223,A10023535,202105,0,0,0,0,0,0,0,0,0,0
224,A10023535,202106,0,0,0,0,0,0,0,0,0,0
225,A10023535,202107,0,0,0,0,0,0,0,0,0,0
226,A10023535,202108,0,0,0,0,0,0,0,0,0,0
227,A10023535,202109,0,0,0,0,0,0,0,0,0,0
228,A10023535,202110,0,0,0,0,0,0,0,0,0,0
229,A10023535,202111,0,0,0,0,0,0,0,0,0,0
230,A10023535,202112,0,0,0,0,0,0,0,0,0,0
231,A10023535,202201,0,0,0,0,0,0,0,0,0,0
232,A10023535,202202,0,0,0,0,0,0,0,0,0,0
233,A10023535,202203,0,0,0,0,0,0,0,0,0,0
234,A10023535,202204,0,0,0,0,0,0,0,0,0,0
235,A10023535,202205,0,0,0,0,0,0,0,0,0,0
236,A10023535,202206,0,0,0,0,0,0,0,0,0,0
237,A10023535,202207,0,0,0,0,0,0,0,0,0,0
238,A10023535,202208,0,0,0,0,0,0,0,0,0,0
239,A10023535,202209,0,0,0,0,0,0,0,0,0,0
240,A10023535,202210,0,0,0,0,0,0,0,0,0,0
241,A10023535,202211,0,0,0,0,0,0,27171280,73281,1788880,1726
242,A10023535,202212,0,0,0,0,0,0,44029240,139870,6939580,5581
243,A10023535,202301,0,0,0,0,0,0,56011760,176229,8175820,7710
244,A10023535,202302,0,0,0,0,0,0,48907420,166962,8029510,7634
245,A10023535,202303,0,0,0,0,0,0,46186270,185442,9587170,9133
246,A10023535,202304,0,0,0,0,0,0,40866230,188013,9601040,9287
